Customer ID,Workspaces,Start Date,Months Active,Tier,Active Users,Client Portal Uploads,Report Downloads,Dashboards Created,Reports Created,Templates Created,Budgets Pro,Dashboards Published,Connections,Billing Type,MRR
cus_R52ExptJ1gRRzd,1,10/23/2024,17,Tier 2,17,0,46,274,409,87,40,0,4,month,290
cus_P354N59uxfxRjb,1,11/21/2023,28,Tier 2,29,0,71,69,43,8,13,8,10,month,290
cus_SjAXiRCe8m7ub3,1,7/22/2025,8,Tier 2,35,0,34,87,60,13,42,2,10,year,203
cus_MFzxnUHglWmdgQ,1,8/16/2022,43,Tier 3,57,0,486,147,638,16,23,8,28,year,462
cus_NUyH2lSIzPjv0g,1,3/10/2023,36,Tier 2,15,0,30,58,145,9,28,7,6,month,290
cus_KM1G3Q2GdHJnLg,2,10/5/2021,53,Tier 3,50,0,190,171,466,86,16,1,16,year,385.41
cus_MFvasjJ73eqDGX,1,8/24/2022,43,Tier 2,32,0,146,149,155,6,0,12,8,month,203
cus_S3FpuimWmajx14,1,4/1/2025,11,Tier 1,14,0,64,37,14,13,14,2,1,month,149
cus_OLabQEOUbgmXjg,1,7/28/2023,32,Tier 2,26,0,97,97,96,19,27,0,9,month,290
cus_RBBJaQlWTzK7RC,1,11/8/2024,16,Tier 3,29,0,154,692,977,60,12,0,14,year,385
cus_SuoFFJszpz35U1,1,8/22/2025,7,Tier 1,26,0,31,19,20,7,3,1,1,year,129
cus_LyQMdt5HoLt8BF,1,6/30/2022,45,Tier 3,137,0,456,99,386,33,10,5,27,year,415.8
cus_Qi6S5U597I7BE8,1,8/22/2024,19,Tier 1,15,0,27,33,32,1,5,3,1,month,149
cus_PYBxwCHxGoL0CF,1,2/12/2024,25,Tier 2,53,0,94,66,57,6,9,0,7,month,290
cus_HOrCvOuonOCO69,14,6/3/2020,69,Tier 5,62,142,1084,5530,3748,1036,2251,98,393,month,4542
cus_NeEGm4yb7JDOik,1,4/3/2023,35,Tier 2,25,0,22,81,114,2,79,5,10,year,203
cus_OHq1AzvB23Z44c,2,7/18/2023,32,Tier 2,45,0,250,74,142,20,1,0,7,month,290
cus_P5ej0JPBZMjqVs,1,11/28/2023,28,Tier 2,14,0,96,86,221,19,61,4,8,month,290
cus_NBfvuwtfS2dmI3,1,1/17/2023,38,Tier 3,55,0,563,276,539,18,175,0,49,month,950
cus_K1o0vZqF9Pjh7S,1,8/12/2021,55,Tier 3,106,0,147,367,549,59,0,0,12,month,348
cus_R5G8nQtW8foz4W,1,10/23/2024,17,Tier 1,28,6,54,11,50,4,5,0,1,month,149
cus_LI8h00Xs9IsvfW,1,3/9/2022,48,Tier 2,16,0,143,130,158,50,0,25,10,month,290
cus_Ry7Mo23BDuVwSL,1,3/19/2025,12,Tier 2,32,0,168,55,95,11,5,3,9,year,203
cus_SOwQDbNFooqFGt,1,5/29/2025,10,Tier 1,14,0,13,27,28,3,21,0,1,month,149
cus_QFc4cGbWJdvTu4,1,6/7/2024,21,Tier 1,19,0,86,18,35,2,5,2,1,month,149
cus_O1qSxtmRsPhNta,1,6/5/2023,33,Tier 2,14,0,24,87,170,9,15,0,10,month,290
cus_LN1hWKZjVMR8X6,1,3/23/2022,48,Tier 2,11,0,37,111,104,35,18,57,8,year,203
cus_PO58Xog0XhV170,1,1/16/2024,26,Tier 2,21,0,58,200,157,20,1,0,8,month,290
cus_JQlFYnYYNGNJXN,1,5/5/2021,58,Tier 3,57,0,210,174,479,48,3,5,16,month,435
cus_NhAzJlAw8Uq3Ol,1,4/11/2023,35,Tier 2,9,11,29,219,141,32,100,18,9,year,203
cus_QUcUuyGYyJFsm6,1,7/17/2024,20,Tier 1,8,0,19,76,23,12,21,8,1,month,149
cus_PIojcBC5uPD45N,1,1/2/2024,26,Tier 2,21,0,125,50,101,45,44,0,4,year,203
cus_NKHpZKbYeNmzyv,2,2/9/2023,37,Tier 4,88,0,1170,620,1165,129,35,0,79,month,1501
cus_NEi8NGulqdkANF,1,2/24/2023,37,Tier 3,80,0,360,192,280,14,19,1,47,year,665
cus_PC75qSjIh34x8l,1,12/15/2023,27,Tier 2,13,0,232,74,118,9,38,1,10,year,203
cus_QKpaGJoFE2uLGb,1,6/21/2024,21,Tier 2,38,0,134,42,54,9,14,0,10,year,203
cus_LIPyUHnt0EtmZ0,1,3/10/2022,48,Tier 3,7,0,1073,791,1092,216,49,169,35,year,532
cus_MjByOXXhYHpnPZ,1,11/2/2022,40,Tier 2,19,0,98,59,82,8,48,2,9,month,290
cus_L5kXHhE1uOH3vs,1,2/10/2022,49,Tier 5,367,0,3805,1996,2598,224,32,179,392,month,3920
cus_PbbdEYLRDhebyD,1,2/21/2024,25,Tier 3,52,0,281,183,390,40,113,0,34,month,748
cus_PWNGZ2BV5DF9US,1,2/7/2024,25,Tier 3,40,0,185,223,479,37,34,0,47,month,1034
cus_Nykn3nFBey3T4R,1,5/28/2023,34,Tier 2,7,0,36,105,180,14,7,6,9,month,290
cus_Jrhs5SncauXiXj,2,7/16/2021,56,Tier 3,67,0,226,152,397,34,16,0,17,month,464
cus_RFNSe7zKnhp1lL,1,11/19/2024,16,Tier 2,19,0,147,52,84,10,10,1,10,month,290
cus_QEpflZipqOyI71,1,6/6/2024,21,Tier 2,20,0,57,89,108,18,21,0,8,month,290
cus_Sc0shKVqav2Ff1,2,7/3/2025,8,Tier 3,51,0,148,182,199,30,37,39,34,month,726
cus_MDM30WqdTNvnz1,1,8/9/2022,43,Tier 2,90,0,146,53,104,16,1,0,8,month,290
cus_RwX5ERfRPkG9DF,1,3/14/2025,12,Tier 2,33,0,9,89,97,14,42,2,9,year,203
cus_NttrFO9YxSvUkk,1,5/15/2023,34,Tier 1,12,0,21,37,39,5,14,1,1,year,129
cus_RIMtaqmDLv1FQP,1,11/27/2024,16,Tier 2,13,0,39,114,71,13,9,9,10,month,290
cus_NrEzqWkwO6koRU,1,5/8/2023,34,Tier 3,52,0,82,351,269,6,20,13,38,year,585.2
cus_MBS9OmMu7aRhYb,1,8/4/2022,43,Tier 5,237,238,978,3081,1599,690,22,4,190,year,2261
cus_LdOGYhy6mNNy2C,1,5/5/2022,46,Tier 3,53,0,313,185,185,80,63,1,18,month,522
cus_RKj83TUFJf5uj1,1,12/3/2024,15,Tier 4,283,0,607,417,735,55,60,2,96,month,1824
cus_P02Lf677TWMOS0,1,11/13/2023,28,Tier 2,14,0,46,120,110,3,5,13,9,month,290
cus_N3sc88GVrfYzHx,1,12/27/2022,39,Tier 3,62,0,270,175,172,21,40,33,15,month,435
cus_MBvuR62oG4b4f7,1,8/5/2022,43,Tier 2,19,0,64,42,68,11,15,2,4,month,290
cus_K1MloakXQt2bEY,1,8/11/2021,55,Tier 1,7,0,55,20,47,93,2,0,1,month,149
cus_QaFAGEuleHlDLY,1,8/1/2024,19,Tier 1,21,0,57,15,30,11,6,0,1,month,149
cus_MwhFCWIuUGM2su,1,12/8/2022,39,Tier 3,54,0,284,158,281,17,26,2,33,year,508.2
cus_K6zJHjCjiEUu7b,1,8/26/2021,55,Tier 2,7,0,62,1146,1430,51,3,11,3,year,203
cus_Pk5CNS9YRvizru,1,3/15/2024,24,Tier 1,6,0,13,39,50,16,2,1,1,month,149
cus_FueHv7iqCx1deD,2,5/3/2021,58,Tier 4,60,0,546,413,3779,157,19,0,70,month,1035
cus_MhCDaAXGh6P5yw,1,10/28/2022,41,Tier 2,22,0,248,18,240,12,317,0,6,month,290
cus_Qejq59hlnoKQXa,1,8/13/2024,19,Tier 2,36,0,53,74,88,1,9,7,5,month,217.5
cus_MYi6SfgMUH1m02,3,10/5/2022,41,Tier 4,79,0,892,459,830,135,28,22,81,year,1190
cus_O8YwbzbEcmBvtz,1,6/23/2023,33,Tier 3,32,0,334,173,510,57,51,0,27,month,594
cus_L7aOt74uTS6Ofq,1,2/9/2022,49,Tier 2,14,0,72,70,163,11,3,0,4,year,203
cus_PLJCSA5pVeo7mW,1,1/9/2024,26,Tier 2,16,0,153,93,49,9,5,11,4,month,100
cus_IeMnqM1WBmMcvu,1,4/27/2021,59,Tier 3,36,0,80,208,231,45,61,2,23,month,550
cus_IJjxKRKQpz4uMl,1,11/2/2020,64,Tier 3,65,0,324,506,245,75,2,0,12,month,348
cus_QsrJLLIUsC29F3,1,9/20/2024,18,Tier 1,10,0,50,23,81,1,35,1,1,year,129
cus_ExOv0W4Otv1sto,2,4/26/2021,59,Tier 2,27,0,1,242,314,18,5,11,3,month,60
cus_QIILaujwSPobxb,2,6/14/2024,21,Tier 2,17,0,46,53,98,12,11,0,9,month,290
cus_Lgen0dFetmsDRV,1,5/14/2022,46,Tier 1,33,0,21,27,17,1,1,2,1,month,149
cus_Jjr0wpMIkHNsDV,1,6/25/2021,57,Tier 3,28,0,174,200,276,36,44,3,34,year,294.03
cus_MmaVwiXilkY1g1,1,11/11/2022,40,Tier 2,16,0,32,83,143,24,7,3,10,year,203
cus_Pza9ZlC1PujwJ2,1,4/25/2024,23,Tier 3,32,0,190,168,288,37,81,3,30,month,660
cus_PZ1mMX1QMG1xDh,1,2/15/2024,25,Tier 2,25,0,34,51,72,13,6,0,8,month,290
cus_M2Ts1JThlwrAZI,1,7/11/2022,44,Tier 2,33,0,105,27,46,7,6,8,4,year,203
cus_NJYVVDCpNTtZRg,1,3/8/2023,36,Tier 3,58,0,602,85,187,45,39,4,20,year,346.5
cus_MO0AtB2qPhKM89,1,9/7/2022,42,Tier 2,3,0,79,227,272,28,11,50,9,month,290
cus_NLmgDvceL9Zkin,1,2/13/2023,37,Tier 1,7,0,82,159,163,108,1,7,1,month,149
cus_OLHu8SnFkwpEXI,1,7/27/2023,32,Tier 3,53,0,279,120,238,23,34,3,22,month,550
cus_PWJon7aMWKzWyL,1,2/7/2024,25,Tier 2,27,0,65,32,84,8,5,1,9,month,290
cus_RnaDS3g8uqje09,1,2/18/2025,13,Tier 3,29,0,231,320,418,30,20,1,48,month,1392
cus_MYPEj17DPjPYsd,1,10/4/2022,41,Tier 2,8,0,120,70,132,29,42,1,9,year,203
cus_NBIdhBfKAqzxpx,1,1/16/2023,38,Tier 2,29,0,108,29,106,12,3,1,8,month,290
cus_Nu0Mx3KspuKVTy,1,5/16/2023,34,Tier 2,15,0,28,125,62,4,47,2,8,month,400
cus_Sdfdew1NlOpsRi,1,7/7/2025,8,Tier 1,22,0,16,18,26,2,15,3,1,month,149
cus_R4ZbcOUSuNtkBa,1,10/21/2024,17,Tier 2,24,0,19,76,85,12,4,2,10,month,290
cus_LlgHdcrcYwGOto,1,5/27/2022,46,Tier 2,28,0,27,51,66,12,3,8,5,month,150
cus_QpDBiUCMP9Gvho,1,9/10/2024,18,Tier 3,53,5,134,152,219,23,18,2,24,month,550
cus_RlcVmeTk8DP6Jc,1,2/13/2025,13,Tier 2,36,0,73,154,162,1,0,0,9,month,290
cus_PYyd9bJvxiHEmq,1,2/14/2024,25,Tier 2,17,0,20,89,86,7,9,1,10,month,290
cus_NgkKrYqUtDxGm4,1,4/10/2023,35,Tier 1,8,4,44,17,55,3,4,1,1,year,129
cus_MYJgHerHMKUt3y,1,10/4/2022,41,Tier 3,44,0,226,156,200,21,73,13,22,month,638
cus_InQ9jwtWtzVioQ,1,1/20/2021,46,Tier 2,7,0,25,203,306,77,43,2,4,month,290
cus_SN670V5CEFR1Bw,1,5/24/2025,10,Tier 3,34,0,976,168,924,66,7,0,36,month,792
cus_HhthNcvXobautB,1,7/24/2020,68,Tier 3,46,0,277,212,333,32,2,13,50,month,950
cus_QnNSWHDi1DFhBX,1,9/5/2024,18,Tier 2,16,0,30,202,96,27,1,21,9,year,203
cus_OVn6obc1LYROnW,1,8/24/2023,31,Tier 2,19,30,150,24,111,25,18,0,6,year,203
cus_M3z7b9i7mgvXuY,1,7/15/2022,44,Tier 3,39,0,330,126,332,58,7,2,45,month,950
cus_RQhsxCQ0GVQ8Qi,3,12/19/2024,15,Tier 3,39,0,410,128,281,37,55,1,22,year,284.2
cus_IP3xkmRa3BZ0Cy,1,11/16/2020,64,Tier 2,14,0,144,62,108,9,3,3,8,month,290
cus_RYWE5A5Prq0CPi,1,1/9/2025,14,Tier 3,47,0,299,216,251,17,74,0,36,month,1044
cus_Jd96uuY3fpZDVg,2,6/8/2021,57,Tier 3,73,0,73,265,348,31,2,3,18,month,406
cus_QnhzwQyHltxpKf,1,9/6/2024,18,Tier 2,21,0,84,53,87,1,23,1,9,month,290
cus_PGUir9VSSDNAKW,1,12/27/2023,27,Tier 3,34,0,17,523,249,58,101,126,19,month,551
cus_Ltc89mqPnln88b,1,6/17/2022,45,Tier 3,55,0,55,349,184,28,85,1,27,month,594
cus_P1DizkdHzLw765,2,11/16/2023,28,Tier 2,14,0,12,67,115,14,79,1,10,month,290
cus_SRGTQYkAPZKuZR,1,6/4/2025,9,Tier 1,11,0,30,20,33,0,8,1,1,month,149
cus_RNp5LLWldju5RJ,1,12/12/2024,15,Tier 2,20,0,151,38,93,11,16,0,7,month,290
cus_LudELyVWBJoKcf,1,6/20/2022,45,Tier 2,14,0,45,44,77,5,13,2,8,year,203
cus_NbbRENpXSeaTmC,1,3/27/2023,36,Tier 3,25,0,61,670,591,0,141,2,41,month,946
cus_SrV7sCRw8W1Urq,1,8/13/2025,7,Tier 2,21,0,65,71,69,6,0,26,10,year,203
cus_RsM0G6UooOLgMX,1,3/3/2025,12,Tier 3,99,0,393,132,214,23,9,0,28,year,431.2
cus_PD9kgp7c6nsiDd,1,12/18/2023,27,Tier 2,7,0,30,81,114,21,47,0,9,month,290
cus_PqTyjhQHJ9cdvE,1,4/1/2024,23,Tier 2,8,0,29,106,103,16,78,16,6,month,290
cus_Seh7aF7oj1uQto,1,7/10/2025,8,Tier 2,24,0,99,67,55,2,23,14,6,month,540
cus_Hm7ua3ME8nzNQa,1,8/6/2020,58,Tier 3,42,0,62,188,330,15,13,2,18,month,551
cus_RMvThPdSOFBgBz,2,12/9/2024,15,Tier 3,28,0,46,268,287,23,90,12,35,month,704
cus_RgO8G9Bj1kMYHV,1,1/30/2025,14,Tier 1,11,0,44,25,40,1,0,14,1,month,290
cus_OkPjiWpS0Ic7y4,1,10/2/2023,29,Tier 1,14,0,115,9,45,1,3,0,1,month,149
cus_PbDjgpX4k3HRZL,1,2/20/2024,25,Tier 2,12,0,44,76,140,3,9,0,10,month,290
cus_NUjsn4HfCRz3Gb,1,3/9/2023,36,Tier 5,519,0,3590,716,1341,198,65,8,150,year,1773.1
cus_T7FCtjOhpga7BT,1,9/24/2025,6,Tier 2,30,17,120,36,54,5,15,1,7,year,203
cus_J97zfNoyNxplFZ,1,3/19/2021,60,Tier 2,9,0,75,38,139,6,13,3,3,month,177
cus_O4MymXdiIMmsAl,1,6/12/2023,33,Tier 3,26,0,214,131,359,52,54,0,37,month,814
cus_Omtxpt4MGP4XIa,1,10/9/2023,29,Tier 1,8,0,74,25,25,9,0,9,1,month,290
cus_R2beFvnmuS2iDx,1,10/16/2024,17,Tier 2,25,0,40,34,47,4,10,1,7,month,290
cus_R4bUjABjlVr3J7,1,10/21/2024,17,Tier 1,8,0,24,53,26,2,38,22,1,month,149
cus_KcvTvuEzNvsKov,1,11/19/2021,52,Tier 2,18,108,84,93,71,0,12,1,7,month,290
cus_R08sLyyW0Zj5am,1,10/9/2024,17,Tier 2,19,0,0,199,162,4,56,2,9,year,385
cus_SMidShjPHGTuJo,1,5/23/2025,10,Tier 1,19,0,48,41,80,7,0,1,1,month,149
cus_J36mu5G434x7jU,1,3/3/2021,60,Tier 1,12,0,12,87,14,6,0,19,1,month,59
cus_LexepIYEW4EjPB,1,5/9/2022,46,Tier 1,16,0,104,20,24,0,3,0,1,year,129
cus_PRTa08qIjpJ65p,1,1/25/2024,26,Tier 2,18,0,86,77,87,27,1,0,9,month,290
cus_PcHGtIITKkQM0i,2,2/23/2024,25,Tier 3,45,0,168,93,209,16,57,5,15,month,406
cus_S5kRXQuoYEDtsP,1,4/8/2025,11,Tier 1,14,0,10,19,15,1,5,1,1,month,149
cus_IFzjPGpQk8F8w3,1,10/23/2020,65,Tier 3,18,0,221,268,534,247,5,0,31,month,695
cus_RifndbWj2dqplQ,1,2/5/2025,13,Tier 2,19,0,34,46,33,15,9,1,5,month,290
cus_Noz4Zg3veXrUVM,1,5/2/2023,34,Tier 3,81,0,330,73,226,29,13,0,17,year,345.1
cus_QvudFYTJWkcWPO,1,9/28/2024,18,Tier 2,28,50,2,141,54,11,16,0,10,month,290
cus_Kw4vgAgdIoHc6Y,1,1/10/2022,50,Tier 2,15,0,59,99,93,8,0,0,9,month,290
cus_KxN23XQ7SVaXuA,1,1/13/2022,50,Tier 1,7,0,25,37,122,7,0,1,1,month,290
cus_RfshwzWnKUFIWh,1,1/29/2025,14,Tier 2,25,0,39,48,81,21,1,1,6,month,290
cus_RcJgEeljQaRKWg,1,1/19/2025,14,Tier 2,19,0,91,70,81,18,1,0,6,month,290
cus_R2IFqOtimcpRrD,1,10/15/2024,17,Tier 2,17,0,22,109,117,0,5,15,9,year,203
cus_TBcz7shdsdOiqw,1,10/6/2025,5,Tier 2,30,0,165,72,58,3,21,2,6,month,540
cus_P5ip1MRD1Kaqyx,6,11/28/2023,28,Tier 5,364,1,1456,998,1559,145,105,5,280,month,4624
cus_K7LWJxuiaRkiVg,1,8/27/2021,55,Tier 3,46,0,209,219,259,29,4,0,37,month,740.37
cus_PHGGkIdrNaBjmi,1,12/29/2023,27,Tier 3,62,0,96,103,168,16,104,3,20,month,550
cus_PZhSUMSkN42guI,1,2/16/2024,25,Tier 2,31,0,353,35,115,4,1,0,6,month,290
cus_MQATB8DAE7itAP,1,9/12/2022,42,Tier 2,8,0,117,62,71,18,6,5,9,year,203
cus_NmPEQxH8ZQnT0d,1,4/25/2023,35,Tier 1,15,0,30,8,40,0,26,0,1,year,129
cus_PvrNwTGd6SoZjY,1,4/16/2024,23,Tier 1,7,0,25,14,40,1,9,0,1,month,149
cus_KrZRLFwq3EVVsm,1,12/29/2021,51,Tier 1,18,0,171,16,78,3,0,0,1,month,149
cus_L8jXgtUVl1UHJU,1,2/12/2022,49,Tier 1,8,0,24,27,12,14,1,8,1,year,129
cus_Nh9OtXH1FiOsvK,7,4/11/2023,35,Tier 5,336,0,2094,991,1745,174,37,12,230,month,2200
cus_PwwDaY4cWwBFvO,1,4/18/2024,23,Tier 3,69,0,524,211,122,10,6,3,45,year,731.5
cus_PykiS8nw5UqZGI,1,4/23/2024,23,Tier 1,8,0,31,24,15,9,1,11,1,month,149
cus_NOnKNzHvBq76Je,2,2/21/2023,37,Tier 2,39,0,0,173,41,11,16,1,8,month,290
cus_Q9G72OFttva0dO,1,5/21/2024,22,Tier 2,9,0,42,73,91,2,12,6,10,month,290
cus_PdpuaTpJdQmUGa,1,2/27/2024,25,Tier 1,10,0,5,44,89,2,55,1,1,month,149
cus_PBf9YeT4rvjIRM,1,12/14/2023,27,Tier 3,33,0,141,363,564,19,1,0,27,year,415.8
cus_QvzuZx1uIWQQZM,1,9/28/2024,18,Tier 3,50,1,128,151,134,20,90,2,14,month,406
cus_J955Iufv17JiP2,1,3/19/2021,60,Tier 1,17,0,0,95,67,6,1,16,1,month,149
cus_KUXlzvNQvN8Nyk,1,10/28/2021,53,Tier 2,8,0,89,51,121,27,8,0,8,month,290
cus_FvlhESn7uk9Bj6,1,4/26/2021,59,Tier 4,23,0,667,1551,2279,78,9,5,55,month,600
cus_RCqxM94uc8D3DD,1,11/12/2024,16,Tier 1,7,0,46,102,210,0,2,0,1,month,149
cus_S8DToS2aslrvdU,1,4/15/2025,11,Tier 1,24,0,142,5,27,1,6,0,1,year,129
cus_KcauOVpBkANe9d,1,11/19/2021,52,Tier 1,14,0,94,31,23,0,1,0,1,month,149
cus_OVPbOFWSEeFnSi,1,8/23/2023,31,Tier 3,46,0,483,119,201,10,174,2,30,year,462
cus_K2RDz7jHdp4JwJ,1,8/14/2021,55,Tier 2,9,0,43,70,124,3,39,0,8,month,290
cus_RI5Fb7MG7Mx6k2,1,11/26/2024,16,Tier 2,11,0,79,32,87,11,17,0,8,year,203
cus_Kei4Kg5mxQ1jBC,1,11/24/2021,52,Tier 3,52,0,22,282,505,12,5,41,23,year,385
cus_SmZ94IkbMzec4A,1,7/31/2025,8,Tier 3,55,0,532,156,271,50,2,0,47,year,723.8
cus_QXyCByQ2pE3Wix,1,7/26/2024,20,Tier 3,57,0,286,89,156,37,39,0,13,month,377
cus_QHr4KfVjqVGUcj,1,6/13/2024,21,Tier 3,9,1,373,247,234,35,205,6,45,month,850
cus_JeXD2UtoDDgW5a,1,6/11/2021,57,Tier 1,8,0,27,22,49,0,1,3,1,month,149
cus_PmMXz0wUVHMu4m,1,3/21/2024,24,Tier 2,6,0,2,355,208,49,12,135,10,month,290
cus_NxHq6hmzP9cgbq,1,5/24/2023,34,Tier 1,24,0,0,48,27,29,1,0,1,month,149
cus_SYTUV0bHN8FmsW,1,6/24/2025,9,Tier 2,7,0,33,118,72,16,3,10,9,year,203
cus_RLpAYN8OQIofe9,1,12/6/2024,15,Tier 2,12,0,24,73,85,2,12,0,2,month,290
cus_P97CsA2Ifr5Zmj,1,12/7/2023,27,Tier 1,14,0,328,10,93,1,1,0,1,year,129
cus_SiuTjOlQLDRFzA,2,7/21/2025,8,Tier 2,38,0,14,56,27,12,46,5,4,month,290
cus_RAVkBvBUUsIIFW,1,11/6/2024,16,Tier 1,11,0,55,19,18,3,2,2,1,month,149
cus_Qu5zikk1DO3hYH,1,9/23/2024,18,Tier 2,11,0,13,138,141,3,12,0,10,year,385
cus_RZlHustXCIcoX4,1,2/12/2025,13,Tier 2,20,0,85,37,47,2,35,1,7,month,290
cus_SXEZet99vVIJnN,1,6/20/2025,9,Tier 1,14,0,17,9,23,0,13,1,1,month,149
cus_QuozE6kAi4jzeu,1,9/27/2024,18,Tier 3,9,0,583,272,230,32,18,21,30,month,660
